ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,cssm
Michael Faraday,What did Joseph Henry likely discover?,self-induction,medium,medium,S09_set4_a7,0.35674518
Otter,Is the otter in the same family as the badger?,Yes,hard,hard,S09_set1_a7,0.0008859895
Amedeo Avogadro,How many children did Avogadro have?,six,medium,medium,S09_set4_a8,0.06695022
Indonesia,Is Indonesia a monarchy with a presidential system?,no,easy,easy,S08_set2_a10,0.00036418438
Melbourne,How many sister cities does the City of Melbourne have?,six,medium,medium,S10_set3_a2,0.17955732
Nairobi,Does the city and its surrounding area also form the Nairobi Province?,yes,,easy,S10_set3_a9,-0.029182311
Ulysses S. Grant,Was it a two-sentence description that completely caught the essence of Ulysses S. Grant ?,yes,,easy,S08_set3_a5,0.25001782
Kangaroo,What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi",hard,hard,S08_set1_a1,0.5055861
Blaise Pascal,"Was he a child prodigy who was educated by his father, a civil servant?",yes,,medium,S10_set4_a4,0.25001782
Alessandro Volta,How long was Alessandro Volta a professor at the University of Pavia?,Alessandro Volta was a professor at the University of Pavia for almost 25 years.,hard,hard,S10_set4_a10,0.96292436
Michael Faraday,Does the production of chemical weapons raise an ethical issue?,yes,hard,easy,S09_set4_a7,0.09266876
Charles-augustin De Coulomb,Where did the construction of Fort Bourbon take place?,The construction of Fort Bourbon took place in Martinique.,hard,hard,S09_set4_a6,0.07471972
Michael Faraday,"How many years ago was it when Faraday wrote a letter to The Times on the subject of the foul condition of the River Thames , which resulted in an oft-reprinted cartoon in Punch?",154,,hard,S09_set4_a7,0.06597664
Turtle,How do turtles chew food?,Turtles use their jaws to cut and chew food.,medium,medium,S09_set1_a4,0.8475489
Jakarta,Was the Jakarta area part of the fourth century Indianized kingdom of Tarumanagara?,Yes,,easy,S10_set3_a5,0.08615805
Piano,How many total keys does a typical modern piano have?,88 keys.,medium,medium,S10_set2_a1,0.7008151
James Watt,What was James Watt's father's job?,"His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.",medium,hard,S10_set4_a2,0.3922073
Vincent Van Gogh,Who frequented the circle of the British-Australian artist John Peter Russell?,Van Gogh,,medium,S10_set6_a7,0.4937882
Singapore,Do singaporeans enjoy squid?,"Yes, they do.",easy,easy,S08_set2_a2,0.21933657
Lima,How many years ago was the Lima Stock Exchange the most profitable in the world?,Three,,hard,S09_set3_a4,0.08914423
Indonesia,Is Pencak Silat an Indonesian martial art ?,yes,,easy,S08_set2_a10,0.09827196
John Adams,Who were the midnight judges?,"They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired",hard,hard,S08_set3_a1,0.61949325
Santiago,Who has released an album or song named Santiago?,The Chieftains; Loreena McKennitt,medium,medium,S09_set3_a6,0.08287803
Charles-augustin De Coulomb,"Was The SI  unit  of charge , the  coulomb , named after him?",yes,,easy,S09_set4_a6,0.018225595
Indonesia,Was Indonesia named after it became an independent country?,no,hard,hard,S08_set2_a10,-0.13298163
Grover Cleveland,How many children did Grover Cleveland have?,5,hard,hard,S08_set3_a6,0.174481
Polar Bear,"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice.",,medium,S08_set1_a4,0.42133653
Amedeo Avogadro,Is it true that he became a professor in 1820?,yes,,easy,S08_set4_a8,0.25001782
Michael Faraday,What was Michael Faraday`s birthplace?,Newington Butts,,hard,S09_set4_a7,0.28614593
Kangaroo,"Was James Cook the first to record the name ""Kangooroo?""",yes,easy,medium,S08_set1_a1,-0.04150857
Koala,Did eucalypt forests grow in the place of rainforests?,"Yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests.",,easy,S10_set1_a3,-0.04690314
Nikola Tesla,Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?,yes.,,easy,S08_set4_a3,0.054591224
Korean Language,How many Korean speakers are there?,There are about 78 million Korean speakers.,easy,easy,S10_set5_a6,0.88278556
Fox,In what country did fox hunting originate?,the United Kingdom,medium,medium,S09_set1_a6,0.08840004
James Monroe,Was Monroe anticlerical?,no,,easy,S08_set3_a2,0.3168735
Anders Celsius,The Celsius crater on the Moon is what?,named after him,,medium,S08_set4_a5,0.013178578
James Watt,Who died in childbirth in 1772?,Margaret Miller,,medium,S08_set4_a2,0.022295646
Cymbal,What two instruments form the modern drum kit?,the cymbals and the drum,hard,hard,S09_set2_a6,0.61524963
Henri Becquerel,Did Henri Becquerel live to be 80 years old?,no,,medium,S09_set4_a9,-0.036519673
Egypt,What is the poulation of Egypt?,more than 78 million,medium,easy,S08_set2_a6,0.08642058
Drum,Are drums often used in music therapy?,yes,easy,easy,S10_set2_a4,-0.05152586
Turkish Language,What is the official language of Turkey?,Turkish.,medium,hard,S10_set5_a8,0.7428358
Michael Faraday,Was faraday Christian of the small Sandemanian denomination?,yes,,easy,S09_set4_a7,0.056092814
Taipei,Was Taipei founded in the 18th century?,Yes,easy,easy,S10_set3_a6,-0.06704728
Xylophone,Did the golden age of xylophones come before or after the first usage of the European-derived orchestral?,after,hard,hard,S10_set2_a8,0.0069185365
Swan,What are young swans known as?,cygnets,medium,medium,S09_set1_a10,0.42196214
Swan,Do swans belong to the family Anatidae?,yes,easy,easy,S09_set1_a10,0.10733499
Drum,Whare is the name for drums that have a S10_set of wires held across some of all of the drum heads?,snares,hard,medium,S10_set2_a4,0.59534997
Kuala Lumpur,"after the 2008 elections, what party had the most parliament seats?",DAP,hard,hard,S10_set3_a3,0.059169054
Liechtenstein,What company administers Leichtenstein's railways?,Austrian Federal Railways,hard,medium,S08_set2_a1,0.060601376
Turtle,Can turtles take many years to reach breeding age ?,yes,,easy,S08_set1_a9,-0.057650123
Charles-augustin De Coulomb,What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.,,hard,S10_set4_a6,0.0027891845
Lyre,In which place is lyre still played?,North-eastern parts of Africa,medium,medium,S09_set2_a10,0.11691933
Violin,Whate is the usual pitch range of a violin?,from G3 to C8,hard,hard,S09_set2_a2,0.20581803
Flute,When was the pan flute spread to other parts of Europe?,7th century BC.,hard,hard,S09_set2_a5,0.20334834
Turkish Language,Who were the Orkhon inscriptions built for?,For the prince Kul Tigin and his brother Emperor Bilge Khan.,hard,medium,S10_set5_a8,0.40902108
Michael Faraday,Is faraday best known for his work with kinematics?,No,easy,easy,S10_set4_a7,0.011578415
Bee,When do bumblebee colonies reach peak population?,mid to late summer,medium,medium,S09_set1_a8,0.3664404
Giant Panda,Is the population of wild Giant  Pandas growing?,"according to some reports, yes",hard,hard,S10_set1_a4,0.21162014
Singapore,What is the MRT?,One of three heavy rail passenger transport lines in Singapore.,medium,medium,S08_set2_a2,0.31378263
Henri Becquerel,"In 1908, the year  of his death, was Becquerel elected Permanent Secretary  of the Académie  des  Sciences?",Yes,,easy,S09_set4_a9,0.25001782
Penguin,How tall were the tallest prehistoric penguins?,1.80 meters,medium,medium,S08_set1_a3,0.18453649
Xylophone,"Which came first, the xylophone or the vibraphone?",xylophone,hard,hard,S10_set2_a8,0.6844113
Henri Becquerel,He became chief engineer in the Department of Bridges and Highways in what year?,in 1894,,medium,S08_set4_a9,0.012673665
Kangaroo,Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks,,hard,S08_set1_a1,0.061021816
Charles-augustin De Coulomb,Who determined to pursue mathematics?,Charles-Augustin de Coulomb,,medium,S10_set4_a6,0.04677827
Michael Faraday,Did Faraday also discover the laws of electrolysis?,"Yes, Faraday also discovered the laws of  electrolysis.",easy,easy,S10_set4_a7,0.751724
Violin,What is a violin called informally?,Fiddle,medium,medium,S10_set2_a2,0.6275481
Beetle,What is the study of beetles called?,coleopterology,medium,medium,S08_set1_a8,0.6631821
Berlin,Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament. ,medium,easy,S10_set3_a1,0.9035147
Charles-augustin De Coulomb,What happened in 1785?,Coulomb presented his three reports on Electricity and Magnetism,,easy,S10_set4_a6,0.10391332
Michelangelo,Wasn't Michelangelo abstemious?,Michelangelo was abstemious.,,medium,S10_set6_a2,0.63260776
Ulysses S. Grant,Who was Grant's brother in law?,Fred Dent,medium,medium,S08_set3_a5,0.016971717
Charles-augustin De Coulomb,Where is Coll�ge des Quatre-Nations located?,In Montpellier.,hard,hard,S10_set4_a6,0.30017087
Liechtenstein,Is it the smallest german-speaking country in the world?,Yes,,easy,S08_set2_a1,0.25001782
Isaac Newton,Was Newton a English physicist?,Yes.,easy,easy,S09_set4_a1,0.16017812
Cougar,How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.,medium,medium,S10_set1_a2,0.6732902
Leopard,Is the leopard one of the four 'big cats'?,yes,easy,easy,S08_set1_a2,0.07539819
Chinese Language,Is it true that one-fifth of world population speak some form of Chinese?,yes,,easy,S09_set5_a7,0.032479465
Millard Fillmore,What did Taylor and Fillmore disagree upon?,slavory issues,hard,easy,S08_set3_a3,-0.10188426
Trumpet,What makes a trumpet fully chromatic?,able to play all twelve pitches of Western music,hard,easy,S10_set2_a3,0.34504187
Jakarta,Do other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral?,Yes,,easy,S10_set3_a5,0.07435714
Alessandro Volta,In what year did he become a professor of physics at the Royal School in Como?,1774,,medium,S10_set4_a10,0.040332105
John Adams,Did John Adams go to Harvard? ,yes,easy,medium,S08_set3_a1,0.21071793
Duck,What is an economic use of a duck?,Meat,medium,medium,S08_set1_a10,0.21175325
Duck,"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",hard,hard,S08_set1_a10,0.5508288
Xylophone,Can a xylophone be 3 octaves?,yes,hard,hard,S09_set2_a8,0.09219512
Turtle,What are turtle eggs covered in when they incubate?,Mud or Sand,hard,hard,S08_set1_a9,0.06787944
Ant,Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants,medium,medium,S10_set1_a1,0.82502186
German Language,Are there two common  word  orders?,yes,,easy,S09_set5_a2,0.1319964
Melbourne,Where is Melbourne situated?,boundary of the very hot inland areas and the cold southern ocean,hard,too hard,S10_set3_a2,0.20976672
Taipei,What does Taipei produce?,Taipei produces high technology and hi-tech components,hard,medium,S10_set3_a6,0.6745212
Gray Wolf,Does the Gray Wolf share an ancestry with the domestic dog?,Yes,easy,too easy,S08_set1_a6,0.056501035
Amedeo Avogadro,Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes,hard,hard,S10_set4_a8,0.25001782
Kuala Lumpur,Is there a more industrialized region in malaysia?,No,hard,medium,S10_set3_a3,0.3168735
Amedeo Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,medium,medium,S09_set4_a8,0.35328966
Ottawa,What is Ottawa's major league hockey team?,the Ottawa Senators,hard,medium,S09_set3_a5,0.7986319
Jakarta,Who began control of migration to the city in order to stem the overcrowding and poverty?,Lieutenant General Ali Sadikin began control of migration to the city in order to stem the overcrowding and poverty.,,hard,S10_set3_a5,0.06757725
Anders Celsius,What did Anders Celsius determine about the boiling of water?,He determined the dependence of the boiling of water with atmospheric pressure.,easy,medium,S09_set4_a5,0.4561058
Portuguese Language,"Is it derived from the Latin spoken by the romanized pre-Roman peoples of the Iberian Peninsula (namely the Gallaeci, the Lusitanians, the Celtici and the Conii) around 2000 years ago?",yes,,easy,S10_set5_a1,0.25001782
Ghana,Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,hard,hard,S08_set2_a5,0.34964228
Beijing,Are hutongs disappearing?,yes,easy,easy,S09_set3_a7,0.0055026365
James Watt,Who died in 1832?,Margaret Miller.,,medium,S08_set4_a2,0.23028412
Cello,"Who referred to the cello as �basso de viola da braccio""?","Monteverdi referred to the cello as ""basso de viola da braccio"".",hard,medium,S09_set2_a9,0.7749713
Guitar,Whom are guitars made and repaired by?,luthiers,medium,easy,S10_set2_a7,0.5710518
Lobster,What is the mean level of mercury in American lobsters?,0.31 ppm,medium,medium,S10_set1_a5,0.105045564
Swedish Language,Does Swedish use the perfect participle to form the present perfect tense?,No.,easy,easy,S10_set5_a9,0.09828905
Kangaroo,What are vehicles that frequent isolated roads often fitted with?,roo bars,medium,medium,S08_set1_a1,0.12617937
Flute,Where was the oldest flute ever discovered found?,Germany,medium,too hard,S10_set2_a5,0.0731771
Leonardo Da Vinci,"According to art historian Helen Gardner, were the scope and depth of his interests without precedent and ``his mind and personality seem to us superhuman, the man himself mysterious and remote''?",Yes,,easy,S10_set6_a3,0.25001782
